x,y,A,B,C,D,E,F
10.85000,4.47321,0.2,0.4,0.0,0.0,0.1,0.3
4.40000,4.04019,0.1,0.0,0.2,0.0,0.7,0.0
12.15000,2.40000,0.0,0.4,0.4,0.0,0.1,0.1
9.70000,2.31340,0.5,0.0,0.3,0.1,0.0,0.1
6.35000,3.95359,0.0,0.4,0.0,0.0,0.1,0.5
12.20000,2.31340,0.0,0.4,0.3,0.0,0.2,0.1
11.20000,3.26340,0.2,0.0,0.2,0.4,0.2,0.0
7.40000,2.31340,0.4,0.3,0.2,0.0,0.0,0.1
10.45000,1.45000,0.2,0.0,0.1,0.0,0.3,0.4
6.65000,3.95359,0.0,0.1,0.0,0.0,0.1,0.8
12.00000,3.09019,0.0,0.7,0.1,0.1,0.0,0.1
9.95000,3.17679,0.3,0.0,0.2,0.4,0.1,0.0
6.40000,2.14019,0.0,0.0,0.3,0.2,0.0,0.5
12.15000,0.50000,0.0,0.0,0.4,0.4,0.1,0.1
9.95000,1.27680,0.3,0.0,0.2,0.0,0.4,0.1
10.35000,2.40000,0.1,0.0,0.1,0.4,0.0,0.4
13.50000,1.36340,0.0,0.3,0.0,0.2,0.3,0.2
13.05000,3.17679,0.0,0.5,0.1,0.2,0.0,0.2
9.90000,1.70981,0.1,0.0,0.7,0.0,0.1,0.1
1.40000,1.00000,0.0,0.0,0.0,0.0,0.8,0.2
13.50000,2.31340,0.0,0.3,0.2,0.0,0.3,0.2
8.70000,1.53660,0.2,0.4,0.0,0.2,0.2,0.0
12.90000,4.55981,0.0,0.1,0.1,0.1,0.7,0.0
13.55000,1.45000,0.0,0.2,0.0,0.3,0.3,0.2
4.35000,1.27680,0.1,0.0,0.0,0.3,0.0,0.6
8.05000,0.67321,0.1,0.1,0.0,0.2,0.0,0.6
8.50000,4.38660,0.3,0.4,0.1,0.2,0.0,0.0
12.30000,4.38660,0.0,0.2,0.5,0.2,0.1,0.0
12.95000,3.52320,0.0,0.2,0.1,0.1,0.0,0.6
3.85000,4.12679,0.6,0.0,0.3,0.0,0.1,0.0
12.45000,3.35000,0.0,0.1,0.4,0.4,0.0,0.1
13.35000,3.52320,0.0,0.2,0.5,0.1,0.0,0.2
2.00000,2.50000,0.0,0.2,0.0,0.0,0.0,0.8
3.05000,4.12679,0.3,0.3,0.4,0.0,0.0,0.0
4.95000,3.95359,0.0,0.7,0.1,0.2,0.0,0.0
10.35000,0.50000,0.1,0.0,0.0,0.1,0.4,0.4
7.50000,1.53660,0.2,0.5,0.0,0.2,0.1,0.0
13.50000,4.21340,0.0,0.3,0.2,0.3,0.2,0.0
6.05000,3.17679,0.0,0.0,0.6,0.3,0.1,0.0
13.10000,1.53660,0.0,0.3,0.0,0.2,0.1,0.4
7.25000,1.27680,0.6,0.2,0.0,0.1,0.1,0.0
8.55000,0.67321,0.2,0.5,0.0,0.1,0.0,0.2
13.20000,0.41340,0.0,0.0,0.5,0.2,0.1,0.2
2.80000,4.21340,0.5,0.4,0.1,0.0,0.0,0.0
3.95000,3.35000,0.4,0.0,0.5,0.0,0.0,0.1
5.30000,1.36340,0.0,0.2,0.0,0.4,0.4,0.0
1.70000,2.25000,0.0,0.0,0.5,0.5,0.0,0.0
